,TEMP,DEWP,SLP,VISIB,WDSP,MXSPD,MAX,MIN,Label_Rain
0,24.7,21.3,1013.8,1.8,8.9,12.0,30.9,19.9,1
1,26.6,20.1,1015.7,5.5,11.9,18.1,30.0,19.0,1
2,24.0,16.5,1018.6,9.3,8.0,14.0,28.9,19.0,0
3,24.9,17.2,1014.2,10.6,6.7,22.0,39.9,17.1,0
4,21.9,12.3,1017.5,9.8,10.5,28.9,34.0,15.1,0
5,18.2,11.0,1015.9,6.8,11.2,20.0,21.0,14.0,1
6,14.7,6.8,1016.7,9.9,6.0,10.1,24.1,9.0,0
7,22.3,16.8,1013.9,4.6,5.0,10.1,28.9,19.0,1
8,24.4,19.0,1022.6,3.3,7.0,12.0,27.0,21.9,1
9,25.8,22.0,1017.2,3.0,4.2,10.1,39.9,19.9,0
10,29.0,21.6,1024.3,9.9,11.1,20.0,37.9,19.9,0
11,35.5,27.2,1011.5,11.1,9.4,15.9,46.9,30.0,0
12,35.4,29.4,1009.6,7.0,5.8,14.0,43.0,30.0,0
13,30.7,27.0,1009.7,3.1,7.8,17.1,37.9,27.0,1
14,15.9,10.9,1013.4,1.0,19.4,30.1,33.1,3.0,1
15,-0.5,-9.5,1034.8,8.4,11.7,28.0,10.0,-8.0,0
16,17.2,9.5,1018.5,10.6,9.6,18.1,30.9,7.0,0
17,25.9,18.9,1009.7,11.0,8.8,15.9,30.9,21.9,0
18,26.0,19.6,1011.2,8.6,6.7,18.1,32.0,23.0,1
19,26.2,21.7,1016.6,3.1,8.6,18.1,32.0,23.0,1
20,30.6,25.0,1011.3,4.0,11.6,20.0,44.1,21.9,1
21,32.8,27.3,1013.0,5.5,15.8,20.0,41.0,25.0,1
22,25.4,20.5,1016.7,5.4,12.3,20.0,28.0,24.1,1
23,25.0,19.4,1017.9,12.1,10.1,18.1,33.1,19.9,0
24,24.1,18.8,1018.1,8.2,7.5,15.0,35.1,16.0,0
25,33.8,25.4,1012.3,7.4,9.3,17.1,43.0,26.1,0
26,32.4,26.1,1017.8,10.5,8.8,20.0,39.0,28.0,0
27,28.0,20.9,1020.0,9.3,7.2,12.0,39.9,19.9,0
28,33.8,26.6,1015.4,10.8,8.1,22.0,42.1,28.9,0
29,39.2,33.0,1010.8,8.6,3.1,10.1,52.0,33.1,1
30,32.9,28.6,1016.6,6.0,6.2,15.0,41.0,30.0,0
31,21.6,12.8,1022.5,8.5,13.0,20.0,32.0,14.0,1
32,27.8,20.1,1016.1,8.8,10.2,15.9,33.1,21.0,0
33,33.4,26.5,1017.0,6.4,3.5,7.0,44.1,28.0,1
34,37.3,30.7,1014.6,6.1,4.6,13.0,55.0,28.9,0
35,36.3,32.7,1006.6,7.2,8.0,20.0,42.1,32.0,1
36,36.0,28.4,1010.5,12.2,6.2,10.1,43.0,30.0,0
37,34.9,26.6,1017.0,14.2,5.3,10.1,42.1,28.0,0
38,34.5,26.0,1015.3,10.4,9.9,20.0,44.1,28.9,0
39,42.7,33.5,1018.3,9.2,14.3,25.1,51.1,39.0,1
